Sample in Buffer,Sample in Window,TRIGGER,ad_in_IBUF[7:0],FRE1_index[15:0]
1120,1120,0,124,100
1121,1121,0,124,100
1122,1122,0,124,100
1123,1123,0,124,100
1124,1124,0,124,100
1125,1125,0,124,100
1126,1126,0,124,100
1127,1127,0,124,100
1128,1128,0,124,100
1129,1129,0,124,100
1130,1130,0,124,100
1131,1131,0,124,100
1132,1132,0,124,100
1133,1133,0,124,100
1134,1134,0,124,100
1135,1135,0,124,100
1136,1136,0,124,100
1137,1137,0,124,100
1138,1138,0,124,100
1139,1139,0,124,100
1140,1140,0,124,100
1141,1141,0,124,100
1142,1142,0,124,100
1143,1143,0,124,100
1144,1144,0,124,100
1145,1145,0,124,100
1146,1146,0,124,100
1147,1147,0,124,100
1148,1148,0,124,100
1149,1149,0,124,100
1150,1150,0,124,100
1151,1151,0,124,100
1152,1152,0,124,100
1153,1153,0,124,100
1154,1154,0,124,100
1155,1155,0,124,100
1156,1156,0,124,100
1157,1157,0,124,100
1158,1158,0,124,100
1159,1159,0,124,100
1160,1160,0,124,100
1161,1161,0,124,100
1162,1162,0,124,100
1163,1163,0,124,100
1164,1164,0,124,100
1165,1165,0,124,100
1166,1166,0,124,100
1167,1167,0,124,100
1168,1168,0,124,100
1169,1169,0,124,100
1170,1170,0,124,100
1171,1171,0,124,100
1172,1172,0,124,100
1173,1173,0,124,100
1174,1174,0,124,100
1175,1175,0,124,100
1176,1176,0,124,100
1177,1177,0,124,100
1178,1178,0,124,100
1179,1179,0,124,100
1180,1180,0,124,100
1181,1181,0,124,100
1182,1182,0,124,100
1183,1183,0,124,100
1184,1184,0,124,100
1185,1185,0,124,100
1186,1186,0,124,100
1187,1187,0,124,100
1188,1188,0,124,100
1189,1189,0,124,100
1190,1190,0,124,100
1191,1191,0,124,100
1192,1192,0,124,100
1193,1193,0,124,100
1194,1194,0,124,100
1195,1195,0,124,100
1196,1196,0,124,100
1197,1197,0,124,100
1198,1198,0,124,100
1199,1199,0,124,100
1200,1200,0,124,100
1201,1201,0,124,100
1202,1202,0,124,100
1203,1203,0,124,100
1204,1204,0,124,100
1205,1205,0,124,100
1206,1206,0,124,100
1207,1207,0,124,100
1208,1208,0,124,100
1209,1209,0,124,100
1210,1210,0,124,100
1211,1211,0,124,100
1212,1212,0,124,100
1213,1213,0,124,100
1214,1214,0,124,100
1215,1215,0,124,100
1216,1216,0,124,100
1217,1217,0,124,100
1218,1218,0,124,100
1219,1219,0,124,100
1220,1220,0,124,100
1221,1221,0,124,100
1222,1222,0,124,100
1223,1223,0,124,100
1224,1224,0,124,100
1225,1225,0,124,100
1226,1226,0,124,100
1227,1227,0,124,100
1228,1228,0,124,100
1229,1229,0,124,100
1230,1230,0,124,100
1231,1231,0,124,100
1232,1232,0,124,100
1233,1233,0,124,100
1234,1234,0,124,100
1235,1235,0,124,100
1236,1236,0,124,100
1237,1237,0,124,100
1238,1238,0,124,100
1239,1239,0,124,100
1240,1240,0,124,100
1241,1241,0,124,100
1242,1242,0,124,100
1243,1243,0,124,100
1244,1244,0,124,100
1245,1245,0,124,100
1246,1246,0,124,100
1247,1247,0,124,100
1248,1248,0,124,100
1249,1249,0,124,100
1250,1250,0,124,100
1251,1251,0,124,100
1252,1252,0,124,100
1253,1253,0,124,100
1254,1254,0,124,100
1255,1255,0,124,100
1256,1256,0,124,100
1257,1257,0,124,100
1258,1258,0,124,100
1259,1259,0,124,100
1260,1260,0,124,100
1261,1261,0,124,100
1262,1262,0,124,100
1263,1263,0,124,100
1264,1264,0,124,100
1265,1265,0,124,100
1266,1266,0,124,100
1267,1267,0,124,100
1268,1268,0,124,100
1269,1269,0,124,100
1270,1270,0,124,100
1271,1271,0,124,100
1272,1272,0,124,100
